ZIP,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,home_value
19083,65754,2531,zip,PA,PA,Havertown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,385857.04
19085,65755,10230,zip,PA,PA,Villanova,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,1041655.35
19086,65756,8654,zip,PA,PA,Wallingford,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,350910.05
19087,65757,2527,zip,PA,PA,Wayne,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,573477.88
19090,65760,6303,zip,PA,PA,Willow Grove,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,317560.6
19094,65764,13608,zip,PA,PA,Woodlyn,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,232742.21
19095,65765,10571,zip,PA,PA,Wyncote,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,354090.88
19096,65766,7732,zip,PA,PA,Wynnewood,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,579532.32
19102,65770,12715,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,415807.05
19103,65771,4809,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,489907.87
19104,65772,936,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,241484.54
19106,65774,8493,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,411355.22
19107,65775,7555,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,312893.47
19111,65779,266,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,245371.49
19114,65782,3195,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,266797.45
19115,65783,2309,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,312866.19
19116,65784,3241,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,318008.98
19118,65785,9172,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,713045.64
19119,65786,3715,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,307274.03
19120,65787,167,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,150826.71
19121,65788,2502,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,211029.47
19122,65789,5482,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,298893.46
19123,65790,6941,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,442871.2
19124,65791,225,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,143964.12
19125,65792,4551,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,340693.9
