ZIP,NatWalkInd,total_weight,block_group_rows
03446,5.406101,7.73,8
03447,5.430431,2392.262,7
03448,4.8534,644.865,8
03449,6.157195,1789.181,4
03451,5.848736,3917,3
03452,6.994694,5291.348,6
03455,5.397535,2297.649,4
03456,4.85038,629.065,4
03461,6.937372,6137.078,10
03462,6.077746,1726.3,4
03465,5.397668,1991.654,8
03466,6.077746,1243.542,4
03467,6.080612,1726.781,7
03470,4.9725,4995.572,8
03561,7.251689,68.177,3
03570,7.548899,10382,12
03574,7.222073,2363.744,6
03576,6.617954,2870.635,8
03579,5.0995,366.659,2
03580,6.594846,1496.821,7
03581,6.338203,3080,4
03582,5.023863,2441.838,6
03583,5.447456,945.635,2
03584,7.000066,3652.702,9
03585,4.323746,2783.377,7
03586,6.943549,737.73,7
03588,5.0995,1497.62,2
03590,5.462061,953.655,7
03592,5.332478,1365.733,3
03593,5.447456,396.28,2
03595,5.447456,457.796,2
03597,5.332478,97.45,3
03598,5.806927,3486.156,8
03601,4.84319,219.057,3
03602,4.872953,2848.372,10
03603,5.874467,5429.007,7
03605,4.952731,916.562,6
03607,4.847712,272.938,6
03608,6.706012,2847.861,6
03609,6.711269,992.953,3
03740,4.354582,944.791,7
03741,5.579926,4191.309,8
03743,7.625227,13577.369,19
03745,5.126054,1896.481,6
03748,7.423478,4637.167,15
03750,5.496976,973.667,2
03751,6.091832,10.454,3
03752,4.953545,618.964,6
03753,5.18505,3308.112,7
03755,5.496976,1923.65,2
03765,7.696166,431.656,3
